policy,time,H_mean,H_std,E_mean,E_std,total_mean,total_std
greedy,33.00,417.800000,29.585282,14.200000,4.417138,432.000000,28.189833
greedy,33.25,423.700000,20.232262,16.100000,2.884826,439.800000,21.332292
greedy,33.50,421.700000,28.624193,13.400000,2.458545,435.100000,28.563574
greedy,33.75,421.000000,36.402076,15.600000,3.502380,436.600000,33.820441
greedy,34.00,418.100000,23.628843,13.500000,2.505549,431.600000,24.931907
greedy,34.25,416.100000,25.989100,14.100000,3.348300,430.200000,23.873742
greedy,34.50,408.800000,13.356646,15.600000,3.893014,424.400000,12.456145
greedy,34.75,413.400000,15.938772,14.000000,4.189935,427.400000,15.840875
greedy,35.00,395.000000,27.728846,14.500000,3.566822,409.500000,27.068842
greedy,35.25,400.600000,32.711534,14.400000,3.272783,415.000000,31.580585
greedy,35.50,415.900000,27.049132,14.200000,4.756282,430.100000,24.722684
greedy,35.75,416.100000,24.369608,14.600000,3.169297,430.700000,22.818365
greedy,36.00,423.700000,24.000231,14.800000,3.119829,438.500000,22.974624
greedy,36.25,407.800000,17.618172,13.700000,3.743142,421.500000,17.665094
greedy,36.50,422.800000,19.013446,14.200000,1.813529,437.000000,19.350567
greedy,36.75,415.100000,29.300929,16.400000,2.716207,431.500000,29.556913
greedy,37.00,413.300000,21.848214,15.500000,3.407508,428.800000,23.078610
greedy,37.25,402.900000,17.316979,15.200000,3.910101,418.100000,17.797940
greedy,37.50,414.400000,20.034415,15.800000,3.259175,430.200000,21.744987
greedy,37.75,416.200000,27.324389,14.200000,3.910101,430.400000,27.358525
greedy,38.00,409.000000,25.482020,15.400000,3.565265,424.400000,25.325437
greedy,38.25,405.000000,24.612553,15.700000,2.213594,420.700000,25.148669
greedy,38.50,415.000000,28.990420,14.700000,2.584140,429.700000,27.848998
greedy,38.75,421.700000,18.909433,16.400000,3.565265,438.100000,20.162947
greedy,39.00,424.200000,24.947946,14.100000,2.514403,438.300000,26.077023
greedy,39.25,419.200000,29.943651,14.200000,3.938415,433.400000,28.433939
greedy,39.50,422.700000,21.883784,13.300000,3.560587,436.000000,21.380157
greedy,39.75,419.100000,15.863655,11.700000,2.496664,430.800000,14.558693
greedy,40.00,412.800000,17.047646,14.600000,3.134042,427.400000,16.594510
greedy,40.25,408.400000,8.733079,16.100000,2.424413,424.500000,7.891627
greedy,40.50,408.300000,19.647165,15.300000,4.522782,423.600000,18.922062
greedy,40.75,400.600000,18.614212,14.600000,2.988868,415.200000,19.147382
greedy,41.00,404.800000,19.707866,14.500000,3.807887,419.300000,18.348781
greedy,41.25,400.800000,17.843766,15.700000,2.907844,416.500000,16.581449
greedy,41.50,404.500000,19.687842,13.900000,4.094712,418.400000,18.470397
greedy,41.75,410.200000,16.890497,15.800000,3.910101,426.000000,15.165751
greedy,42.00,402.700000,15.923777,16.900000,2.183270,419.600000,16.235763
greedy,42.25,405.400000,19.248088,14.800000,3.794733,420.200000,21.112398
greedy,42.50,398.500000,24.441540,14.500000,2.798809,413.000000,24.612553
greedy,42.75,400.000000,27.551971,13.700000,5.100109,413.700000,24.859829
greedy,43.00,405.400000,26.200933,13.600000,3.339993,419.000000,24.621580
