m,d1,d2,T,n_runs,lambda_E,lambda_ent,policy,objective_mean,objective_std,total_mean,total_std,H_mean,H_std,E_mean,E_std
500,4,100,5,2,2,0.5,risk_adjusted,0.41080000,0.02998133,0.41080000,0.02998133,0.40960000,0.02941564,0.00120000,0.00056569
500,4,100,5,2,2,0.5,preserve_quality,0.23440000,0.00791960,0.23440000,0.00791960,0.23180000,0.00820244,0.00260000,0.00028284
500,4,100,5,2,2,0.6,priority_credits,0.22440000,0.00282843,0.22440000,0.00282843,0.22380000,0.00311127,0.00060000,0.00028284
500,4,100,5,2,2,0.6,soft_commitment,0.22140000,0.02064752,0.22140000,0.02064752,0.22100000,0.02008183,0.00040000,0.00056569
500,4,100,5,2,2,0.6,risk_adjusted,0.33360000,0.01018234,0.33360000,0.01018234,0.33300000,0.01046518,0.00060000,0.00028284
500,4,100,5,2,2,0.6,preserve_quality,0.16760000,0.00961665,0.16760000,0.00961665,0.16440000,0.00791960,0.00320000,0.00169706
500,4,100,5,2,2,0.7,priority_credits,0.17320000,0.00905097,0.17320000,0.00905097,0.17260000,0.00876812,0.00060000,0.00028284
500,4,100,5,2,2,0.7,soft_commitment,0.16680000,0.00735391,0.16680000,0.00735391,0.16640000,0.00678823,0.00040000,0.00056569
500,4,100,5,2,2,0.7,risk_adjusted,0.23660000,0.00084853,0.23660000,0.00084853,0.23580000,0.00028284,0.00080000,0.00056569
500,4,100,5,2,2,0.7,preserve_quality,0.11160000,0.00056569,0.11160000,0.00056569,0.10900000,0.00084853,0.00260000,0.00028284
500,4,100,5,2,2,0.8,priority_credits,0.09600000,0.00452548,0.09600000,0.00452548,0.09600000,0.00452548,0.00000000,0.00000000
500,4,100,5,2,2,0.8,soft_commitment,0.09220000,0.01442498,0.09220000,0.01442498,0.09220000,0.01442498,0.00000000,0.00000000
500,4,100,5,2,2,0.8,risk_adjusted,0.15580000,0.00141421,0.15580000,0.00141421,0.15580000,0.00141421,0.00000000,0.00000000
500,4,100,5,2,2,0.8,preserve_quality,0.06920000,0.00282843,0.06920000,0.00282843,0.06620000,0.00480833,0.00300000,0.00197990
500,4,100,5,2,2,0.9,priority_credits,0.04640000,0.00565685,0.04640000,0.00565685,0.04640000,0.00565685,0.00000000,0.00000000
500,4,100,5,2,2,0.9,soft_commitment,0.05000000,0.00395980,0.05000000,0.00395980,0.04940000,0.00367696,0.00060000,0.00028284
500,4,100,5,2,2,0.9,risk_adjusted,0.07260000,0.00537401,0.07260000,0.00537401,0.07240000,0.00509117,0.00020000,0.00028284
500,4,100,5,2,2,0.9,preserve_quality,0.03640000,0.00169706,0.03640000,0.00169706,0.03200000,0.00282843,0.00440000,0.00113137
500,4,100,5,2,5,0.1,priority_credits,0.69380000,0.00141421,0.69380000,0.00141421,0.68560000,0.00056569,0.00820000,0.00084853
500,4,100,5,2,5,0.1,soft_commitment,0.66840000,0.01810193,0.66840000,0.01810193,0.66020000,0.01838478,0.00820000,0.00028284
500,4,100,5,2,5,0.1,risk_adjusted,0.77620000,0.00480833,0.77620000,0.00480833,0.74360000,0.00339411,0.03260000,0.00141421
500,4,100,5,2,5,0.1,preserve_quality,0.65640000,0.00848528,0.65640000,0.00848528,0.64440000,0.00905097,0.01200000,0.00056569
500,4,100,5,2,5,0.2,priority_credits,0.58740000,0.00537401,0.58740000,0.00537401,0.57500000,0.00311127,0.01240000,0.00226274
500,4,100,5,2,5,0.2,soft_commitment,0.60100000,0.00876812,0.60100000,0.00876812,0.59160000,0.00678823,0.00940000,0.00197990
500,4,100,5,2,5,0.2,risk_adjusted,0.69360000,0.00056569,0.69360000,0.00056569,0.65360000,0.00226274,0.04000000,0.00169706
500,4,100,5,2,5,0.2,preserve_quality,0.53540000,0.01499066,0.53540000,0.01499066,0.51740000,0.01159655,0.01800000,0.00339411
500,4,100,5,2,5,0.3,priority_credits,0.49520000,0.00169706,0.49520000,0.00169706,0.48540000,0.00197990,0.00980000,0.00028284
500,4,100,5,2,5,0.3,soft_commitment,0.50980000,0.00197990,0.50980000,0.00197990,0.49680000,0.00056569,0.01300000,0.00141421
500,4,100,5,2,5,0.3,risk_adjusted,0.57780000,0.00876812,0.57780000,0.00876812,0.54980000,0.00593970,0.02800000,0.00282843
500,4,100,5,2,5,0.3,preserve_quality,0.46320000,0.00226274,0.46320000,0.00226274,0.44040000,0.00282843,0.02280000,0.00056569
500,4,100,5,2,5,0.4,priority_credits,0.40660000,0.00537401,0.40660000,0.00537401,0.39820000,0.00480833,0.00840000,0.00056569
500,4,100,5,2,5,0.4,soft_commitment,0.41040000,0.00113137,0.41040000,0.00113137,0.40020000,0.00028284,0.01020000,0.00141421
500,4,100,5,2,5,0.4,risk_adjusted,0.51860000,0.00989949,0.51860000,0.00989949,0.49260000,0.01668772,0.02600000,0.00678823
500,4,100,5,2,5,0.4,preserve_quality,0.35960000,0.00282843,0.35960000,0.00282843,0.33700000,0.00084853,0.02260000,0.00197990
500,4,100,5,2,5,0.5,priority_credits,0.33740000,0.00367696,0.33740000,0.00367696,0.32840000,0.00282843,0.00900000,0.00084853
500,4,100,5,2,5,0.5,soft_commitment,0.32560000,0.00282843,0.32560000,0.00282843,0.31740000,0.00480833,0.00820000,0.00197990
500,4,100,5,2,5,0.5,risk_adjusted,0.40540000,0.00141421,0.40540000,0.00141421,0.38520000,0.00452548,0.02020000,0.00593970
500,4,100,5,2,5,0.5,preserve_quality,0.27720000,0.01810193,0.27720000,0.01810193,0.24880000,0.01357645,0.02840000,0.00452548
500,4,100,5,2,5,0.6,priority_credits,0.26860000,0.00650538,0.26860000,0.00650538,0.26040000,0.00622254,0.00820000,0.00028284
500,4,100,5,2,5,0.6,soft_commitment,0.26420000,0.00424264,0.26420000,0.00424264,0.25440000,0.00395980,0.00980000,0.00028284
500,4,100,5,2,5,0.6,risk_adjusted,0.35160000,0.01301076,0.35160000,0.01301076,0.33820000,0.01329361,0.01340000,0.00028284
500,4,100,5,2,5,0.6,preserve_quality,0.23280000,0.00565685,0.23280000,0.00565685,0.19800000,0.00565685,0.03480000,0.00000000
500,4,100,5,2,5,0.7,priority_credits,0.18360000,0.00452548,0.18360000,0.00452548,0.17800000,0.00226274,0.00560000,0.00226274
500,4,100,5,2,5,0.7,soft_commitment,0.20160000,0.00113137,0.20160000,0.00113137,0.19440000,0.00000000,0.00720000,0.00113137
500,4,100,5,2,5,0.7,risk_adjusted,0.25800000,0.00000000,0.25800000,0.00000000,0.24460000,0.00311127,0.01340000,0.00311127
500,4,100,5,2,5,0.7,preserve_quality,0.16820000,0.01272792,0.16820000,0.01272792,0.13040000,0.00735391,0.03780000,0.00537401
500,4,100,5,2,5,0.8,priority_credits,0.12480000,0.00056569,0.12480000,0.00056569,0.11600000,0.00169706,0.00880000,0.00226274
500,4,100,5,2,5,0.8,soft_commitment,0.13220000,0.00650538,0.13220000,0.00650538,0.12660000,0.00707107,0.00560000,0.00056569
500,4,100,5,2,5,0.8,risk_adjusted,0.17140000,0.00311127,0.17140000,0.00311127,0.16260000,0.00367696,0.00880000,0.00056569
500,4,100,5,2,5,0.8,preserve_quality,0.13060000,0.00820244,0.13060000,0.00820244,0.08200000,0.00565685,0.04860000,0.00254558
500,4,100,5,2,5,0.9,priority_credits,0.06180000,0.00480833,0.06180000,0.00480833,0.05740000,0.00650538,0.00440000,0.00169706
500,4,100,5,2,5,0.9,soft_commitment,0.06000000,0.00169706,0.06000000,0.00169706,0.05440000,0.00169706,0.00560000,0.00000000
500,4,100,5,2,5,0.9,risk_adjusted,0.08880000,0.00735391,0.08880000,0.00735391,0.08260000,0.00989949,0.00620000,0.00254558
500,4,100,5,2,5,0.9,preserve_quality,0.09760000,0.00056569,0.09760000,0.00056569,0.03800000,0.00339411,0.05960000,0.00282843
500,4,100,5,2,10,0.1,priority_credits,0.69160000,0.00735391,0.69160000,0.00735391,0.67500000,0.01272792,0.01660000,0.00537401
500,4,100,5,2,10,0.1,soft_commitment,0.67920000,0.00395980,0.67920000,0.00395980,0.66480000,0.00169706,0.01440000,0.00226274
500,4,100,5,2,10,0.1,risk_adjusted,0.78740000,0.02856711,0.78740000,0.02856711,0.73920000,0.02319310,0.04820000,0.00537401
500,4,100,5,2,10,0.1,preserve_quality,0.67660000,0.00141421,0.67660000,0.00141421,0.66000000,0.00226274,0.01660000,0.00084853
500,4,100,5,2,10,0.2,priority_credits,0.61000000,0.01074802,0.61000000,0.01074802,0.58660000,0.01159655,0.02340000,0.00084853
500,4,100,5,2,10,0.2,soft_commitment,0.59060000,0.01555635,0.59060000,0.01555635,0.57120000,0.01131371,0.01940000,0.00424264
500,4,100,5,2,10,0.2,risk_adjusted,0.69660000,0.02743574,0.69660000,0.02743574,0.63100000,0.01951615,0.06560000,0.00791960
500,4,100,5,2,10,0.2,preserve_quality,0.58000000,0.01018234,0.58000000,0.01018234,0.54840000,0.01131371,0.03160000,0.00113137
500,4,100,5,2,10,0.3,priority_credits,0.49140000,0.02347595,0.49140000,0.02347595,0.46780000,0.02743574,0.02360000,0.00395980
500,4,100,5,2,10,0.3,soft_commitment,0.51580000,0.00311127,0.51580000,0.00311127,0.48860000,0.00141421,0.02720000,0.00169706
500,4,100,5,2,10,0.3,risk_adjusted,0.64440000,0.01074802,0.64440000,0.01074802,0.57560000,0.00735391,0.06880000,0.00339411
500,4,100,5,2,10,0.3,preserve_quality,0.48320000,0.00678823,0.48320000,0.00678823,0.43920000,0.00226274,0.04400000,0.00452548
500,4,100,5,2,10,0.4,priority_credits,0.43000000,0.01301076,0.43000000,0.01301076,0.39600000,0.00678823,0.03400000,0.00622254
500,4,100,5,2,10,0.4,soft_commitment,0.41380000,0.00707107,0.41380000,0.00707107,0.38340000,0.00876812,0.03040000,0.00169706
