x_center,y_center,occupancy_share,drift_x_estimate,drift_y_estimate,time_in_bin
0.06775321,0.17690464,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.18476707,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.19262950,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.20049193,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.20835436,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.21621679,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.22407921,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.23194164,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.23980407,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.24766650,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.25552893,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.26339136,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.06775321,0.27125379,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.00393121,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.01179364,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.01965607,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.02751850,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.03538093,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.04324336,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.05110579,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.05896821,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.06683064,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.07469307,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.08255550,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.09041793,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.09828036,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.10614279,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.11400521,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.12186764,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.12973007,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.13759250,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.14545493,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.15331736,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.16117979,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.16904221,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.17690464,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.18476707,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.07817679,0.19262950,0.0000000000,0.0000000000,0.0000000000,0.0000000000
