m,d1,d2,T,n_runs,lambda_E,easy_entrant_share,policy,total_perish_over_mT_mean,total_perish_over_mT_std,H_perish_over_mT_mean,H_perish_over_mT_std,E_perish_over_mT_mean,E_perish_over_mT_std
10000,10,1000,100,5,5,0.3,TAG,0.43337640,0.00043355,0.42858680,0.00043001,0.00478960,0.00006749
10000,10,1000,100,5,5,0.3,TAP,0.42548680,0.00064495,0.42548600,0.00064478,0.00000080,0.00000045
10000,10,1000,100,5,5,0.4,greedy,0.31609080,0.00035318,0.31297060,0.00038705,0.00312020,0.00004651
10000,10,1000,100,5,5,0.4,patient,0.48195780,0.00076944,0.48195740,0.00076990,0.00000040,0.00000089
10000,10,1000,100,5,5,0.4,TAG,0.29435520,0.00098097,0.28848920,0.00098902,0.00586600,0.00012472
10000,10,1000,100,5,5,0.4,TAP,0.28243220,0.00084604,0.28243220,0.00084604,0.00000000,0.00000000
10000,10,1000,100,5,5,0.5,greedy,0.21976460,0.00057149,0.21569920,0.00058006,0.00406540,0.00007551
10000,10,1000,100,5,5,0.5,patient,0.38213800,0.00037828,0.38213720,0.00037832,0.00000080,0.00000110
10000,10,1000,100,5,5,0.5,TAG,0.19537800,0.00054279,0.18899820,0.00048682,0.00637980,0.00010571
10000,10,1000,100,5,5,0.5,TAP,0.18328040,0.00045919,0.18328000,0.00045970,0.00000040,0.00000055
10000,10,1000,100,5,5,0.6,greedy,0.14979700,0.00026187,0.14488900,0.00021970,0.00490800,0.00005546
10000,10,1000,100,5,5,0.6,patient,0.29048420,0.00053008,0.29048420,0.00053008,0.00000000,0.00000000
10000,10,1000,100,5,5,0.6,TAG,0.12873240,0.00040946,0.12213800,0.00043965,0.00659440,0.00006412
10000,10,1000,100,5,5,0.6,TAP,0.11918720,0.00042675,0.11918700,0.00042682,0.00000020,0.00000045
10000,10,1000,100,5,5,0.7,greedy,0.09882320,0.00016059,0.09324500,0.00012944,0.00557820,0.00007180
10000,10,1000,100,5,5,0.7,patient,0.20652140,0.00062276,0.20652140,0.00062276,0.00000000,0.00000000
10000,10,1000,100,5,5,0.7,TAG,0.08292380,0.00033658,0.07617760,0.00037849,0.00674620,0.00007830
10000,10,1000,100,5,5,0.7,TAP,0.07533680,0.00020721,0.07533660,0.00020751,0.00000020,0.00000045
10000,10,1000,100,5,5,0.8,greedy,0.06020800,0.00036767,0.05411420,0.00033401,0.00609380,0.00009945
10000,10,1000,100,5,5,0.8,patient,0.13001200,0.00030842,0.13001180,0.00030835,0.00000020,0.00000045
10000,10,1000,100,5,5,0.8,TAG,0.04994060,0.00018408,0.04321620,0.00011190,0.00672440,0.00011704
10000,10,1000,100,5,5,0.8,TAP,0.04328720,0.00032214,0.04328660,0.00032190,0.00000060,0.00000055
10000,10,1000,100,5,5,0.9,greedy,0.03029480,0.00006151,0.02392120,0.00011246,0.00637360,0.00008793
10000,10,1000,100,5,5,0.9,patient,0.06116460,0.00036232,0.06116460,0.00036232,0.00000000,0.00000000
10000,10,1000,100,5,5,0.9,TAG,0.02575620,0.00017966,0.01891860,0.00012022,0.00683760,0.00008268
10000,10,1000,100,5,5,0.9,TAP,0.01916800,0.00006728,0.01916740,0.00006693,0.00000060,0.00000055
10000,10,1000,100,5,10,0.1,greedy,0.79522540,0.00151913,0.79450520,0.00152572,0.00072020,0.00003662
10000,10,1000,100,5,10,0.1,patient,0.83446260,0.00095632,0.83439800,0.00095813,0.00006460,0.00000391
10000,10,1000,100,5,10,0.1,TAG,0.79537380,0.00138746,0.79418320,0.00138868,0.00119060,0.00003362
10000,10,1000,100,5,10,0.1,TAP,0.79508840,0.00049779,0.79504500,0.00049908,0.00004340,0.00000498
10000,10,1000,100,5,10,0.2,greedy,0.61090160,0.00124101,0.60894360,0.00128848,0.00195800,0.00005369
10000,10,1000,100,5,10,0.2,patient,0.71161960,0.00095201,0.71160280,0.00095228,0.00001680,0.00000239
10000,10,1000,100,5,10,0.2,TAG,0.60680080,0.00146209,0.60249340,0.00147176,0.00430740,0.00008141
10000,10,1000,100,5,10,0.2,TAP,0.60444520,0.00069615,0.60443760,0.00069947,0.00000760,0.00000358
10000,10,1000,100,5,10,0.3,greedy,0.44796900,0.00043082,0.44416940,0.00039637,0.00379960,0.00007189
10000,10,1000,100,5,10,0.3,patient,0.60148260,0.00031526,0.60147760,0.00031518,0.00000500,0.00000354
10000,10,1000,100,5,10,0.3,TAG,0.43710660,0.00049554,0.42883480,0.00045669,0.00827180,0.00007602
10000,10,1000,100,5,10,0.3,TAP,0.43622360,0.00068330,0.43622240,0.00068332,0.00000120,0.00000084
10000,10,1000,100,5,10,0.4,greedy,0.31820300,0.00043874,0.31226000,0.00045770,0.00594300,0.00006194
10000,10,1000,100,5,10,0.4,patient,0.49992200,0.00074284,0.49992060,0.00074374,0.00000140,0.00000114
10000,10,1000,100,5,10,0.4,TAG,0.30027700,0.00037866,0.28925060,0.00028131,0.01102640,0.00010701
10000,10,1000,100,5,10,0.4,TAP,0.30095180,0.00043640,0.30095060,0.00043575,0.00000120,0.00000084
10000,10,1000,100,5,10,0.5,greedy,0.22253760,0.00074447,0.21453640,0.00072979,0.00800120,0.00003640
10000,10,1000,100,5,10,0.5,patient,0.40506900,0.00070610,0.40506760,0.00070749,0.00000140,0.00000152
10000,10,1000,100,5,10,0.5,TAG,0.20157760,0.00030110,0.18930180,0.00033128,0.01227580,0.00010087
10000,10,1000,100,5,10,0.5,TAP,0.20642960,0.00048182,0.20642840,0.00048099,0.00000120,0.00000130
10000,10,1000,100,5,10,0.6,greedy,0.15428980,0.00029005,0.14471560,0.00034046,0.00957420,0.00014280
10000,10,1000,100,5,10,0.6,patient,0.31466240,0.00037125,0.31466140,0.00037120,0.00000100,0.00000071
10000,10,1000,100,5,10,0.6,TAG,0.13519140,0.00044385,0.12240660,0.00036840,0.01278480,0.00014401
10000,10,1000,100,5,10,0.6,TAP,0.13912660,0.00032446,0.13912560,0.00032468,0.00000100,0.00000071
10000,10,1000,100,5,10,0.7,greedy,0.10398080,0.00038160,0.09301940,0.00037631,0.01096140,0.00007734
10000,10,1000,100,5,10,0.7,patient,0.22931520,0.00056513,0.22931420,0.00056513,0.00000100,0.00000000
10000,10,1000,100,5,10,0.7,TAG,0.08901120,0.00017067,0.07588680,0.00017557,0.01312440,0.00011625
10000,10,1000,100,5,10,0.7,TAP,0.09069720,0.00034222,0.09069700,0.00034259,0.00000020,0.00000045
10000,10,1000,100,5,10,0.8,greedy,0.06614560,0.00013850,0.05414480,0.00011889,0.01200080,0.00012122
10000,10,1000,100,5,10,0.8,patient,0.14850840,0.00027168,0.14850820,0.00027183,0.00000020,0.00000045
10000,10,1000,100,5,10,0.8,TAG,0.05649160,0.00012599,0.04318400,0.00010755,0.01330760,0.00009404
10000,10,1000,100,5,10,0.8,TAP,0.05384040,0.00019244,0.05383980,0.00019292,0.00000060,0.00000089
10000,10,1000,100,5,10,0.9,greedy,0.03660620,0.00030717,0.02376020,0.00027591,0.01284600,0.00008814
10000,10,1000,100,5,10,0.9,patient,0.07239760,0.00019386,0.07239740,0.00019358,0.00000020,0.00000045
10000,10,1000,100,5,10,0.9,TAG,0.03205360,0.00015380,0.01861300,0.00006639,0.01344060,0.00012127
10000,10,1000,100,5,10,0.9,TAP,0.02432060,0.00017432,0.02432020,0.00017410,0.00000040,0.00000055
10000,10,1000,100,5,20,0.1,greedy,0.79591420,0.00099238,0.79488760,0.00101543,0.00102660,0.00003357
10000,10,1000,100,5,20,0.1,patient,0.83005600,0.00149708,0.82984460,0.00149428,0.00021140,0.00001258
10000,10,1000,100,5,20,0.1,TAG,0.79524680,0.00070354,0.79376900,0.00074223,0.00147780,0.00004035
10000,10,1000,100,5,20,0.1,TAP,0.79525740,0.00106877,0.79504040,0.00107686,0.00021700,0.00000849
10000,10,1000,100,5,20,0.2,greedy,0.61135800,0.00175941,0.60807600,0.00175546,0.00328200,0.00005938
10000,10,1000,100,5,20,0.2,patient,0.70478040,0.00051865,0.70460620,0.00052013,0.00017420,0.00001477
10000,10,1000,100,5,20,0.2,TAG,0.60908000,0.00090066,0.60312160,0.00098749,0.00595840,0.00011161
10000,10,1000,100,5,20,0.2,TAP,0.60806000,0.00069448,0.60793400,0.00070702,0.00012600,0.00001483
10000,10,1000,100,5,20,0.3,greedy,0.44910640,0.00047533,0.44226600,0.00045100,0.00684040,0.00008061
10000,10,1000,100,5,20,0.3,patient,0.59541500,0.00045366,0.59530440,0.00045835,0.00011060,0.00000780
10000,10,1000,100,5,20,0.3,TAG,0.44173520,0.00046672,0.42859600,0.00052727,0.01313920,0.00008818
10000,10,1000,100,5,20,0.3,TAP,0.44301720,0.00052261,0.44296220,0.00052057,0.00005500,0.00001198
10000,10,1000,100,5,20,0.4,greedy,0.32189260,0.00062042,0.31066320,0.00069823,0.01122940,0.00009455
10000,10,1000,100,5,20,0.4,patient,0.49598760,0.00082982,0.49591120,0.00082693,0.00007640,0.00000472
10000,10,1000,100,5,20,0.4,TAG,0.30760600,0.00074824,0.28845840,0.00072727,0.01914760,0.00005860
10000,10,1000,100,5,20,0.4,TAP,0.31314520,0.00014651,0.31311780,0.00014647,0.00002740,0.00000378
10000,10,1000,100,5,20,0.5,greedy,0.22856020,0.00050216,0.21350160,0.00059172,0.01505860,0.00012087
10000,10,1000,100,5,20,0.5,patient,0.40295640,0.00072206,0.40291240,0.00071876,0.00004400,0.00000784
10000,10,1000,100,5,20,0.5,TAG,0.21194580,0.00046933,0.18927160,0.00050466,0.02267420,0.00008613
10000,10,1000,100,5,20,0.5,TAP,0.21893100,0.00077507,0.21891460,0.00077427,0.00001640,0.00000167
10000,10,1000,100,5,20,0.6,greedy,0.16233000,0.00052520,0.14389800,0.00045823,0.01843200,0.00007656
10000,10,1000,100,5,20,0.6,patient,0.31496120,0.00019261,0.31493420,0.00019699,0.00002700,0.00000600
10000,10,1000,100,5,20,0.6,TAG,0.14673540,0.00057845,0.12226780,0.00048923,0.02446760,0.00021953
10000,10,1000,100,5,20,0.6,TAP,0.15142300,0.00022680,0.15141060,0.00022695,0.00001240,0.00000207
10000,10,1000,100,5,20,0.7,greedy,0.11354660,0.00034788,0.09236040,0.00029719,0.02118620,0.00012719
10000,10,1000,100,5,20,0.7,patient,0.23136160,0.00078619,0.23134780,0.00078506,0.00001380,0.00000482
10000,10,1000,100,5,20,0.7,TAG,0.10131280,0.00024188,0.07597940,0.00026134,0.02533340,0.00010989
10000,10,1000,100,5,20,0.7,TAP,0.10023820,0.00026281,0.10023180,0.00026386,0.00000640,0.00000219
10000,10,1000,100,5,20,0.8,greedy,0.07692640,0.00020610,0.05364100,0.00012996,0.02328540,0.00016555
10000,10,1000,100,5,20,0.8,patient,0.15148360,0.00065785,0.15147580,0.00065761,0.00000780,0.00000192
10000,10,1000,100,5,20,0.8,TAG,0.06891220,0.00022385,0.04305300,0.00012106,0.02585920,0.00014364
10000,10,1000,100,5,20,0.8,TAP,0.05990140,0.00021329,0.05989520,0.00021542,0.00000620,0.00000295
10000,10,1000,100,5,20,0.9,greedy,0.04876680,0.00025095,0.02376560,0.00012903,0.02500120,0.00018474
10000,10,1000,100,5,20,0.9,patient,0.07416660,0.00029040,0.07416260,0.00029165,0.00000400,0.00000187
10000,10,1000,100,5,20,0.9,TAG,0.04497720,0.00018032,0.01862140,0.00015549,0.02635580,0.00019667
10000,10,1000,100,5,20,0.9,TAP,0.02722920,0.00012082,0.02722400,0.00012031,0.00000520,0.00000130
10000,10,1000,100,5,40,0.1,greedy,0.79470040,0.00137932,0.79329260,0.00134880,0.00140780,0.00006016
